18	8	70	1
15	8	70	1
18	8	70	1
16	8	70	1
17	8	70	1
15	8	70	1
14	8	70	1
14	8	70	1
14	8	70	1
15	8	70	1
15	8	70	1
14	8	70	1
15	8	70	1
14	8	70	1
24	4	70	3
22	6	70	1
18	6	70	1
21	6	70	1
27	4	70	3
26	4	70	2
25	4	70	2
24	4	70	2
25	4	70	2
26	4	70	2
21	6	70	1
10	8	70	1
10	8	70	1
11	8	70	1
9	8	70	1
27	4	71	3
28	4	71	1
25	4	71	3
19	6	71	1
16	6	71	1
17	6	71	1
19	6	71	1
18	6	71	1
14	8	71	1
14	8	71	1
14	8	71	1
14	8	71	1
12	8	71	1
13	8	71	1
13	8	71	1
18	6	71	1
22	4	71	1
19	6	71	1
18	6	71	1
23	4	71	1
28	4	71	2
30	4	71	2
30	4	71	2
31	4	71	3
35	4	71	3
27	4	71	2
26	4	71	1
24	4	72	3
25	4	72	1
23	4	72	2
20	4	72	1
21	4	72	1
13	8	72	1
14	8	72	1
15	8	72	1
14	8	72	1
17	8	72	1
11	8	72	1
13	8	72	1
12	8	72	1
13	8	72	1
19	3	72	3
15	8	72	1
13	8	72	1
13	8	72	1
14	8	72	1
18	4	72	2
22	4	72	2
21	4	72	2
26	4	72	2
22	4	72	1
28	4	72	3
23	4	72	3
28	4	72	1
27	4	72	3
13	8	73	1
14	8	73	1
13	8	73	1
14	8	73	1
15	8	73	1
12	8	73	1
13	8	73	1
13	8	73	1
14	8	73	1
13	8	73	1
12	8	73	1
13	8	73	1
18	6	73	1
16	6	73	1
18	6	73	1
18	6	73	1
23	6	73	1
26	4	73	2
11	8	73	1
12	8	73	1
13	8	73	1
12	8	73	1
18	6	73	1
20	4	73	3
21	4	73	1
22	4	73	3
18	3	73	3
19	4	73	1
21	6	73	1
26	4	73	2
15	8	73	1
16	8	73	1
29	4	73	2
24	4	73	2
20	4	73	2
19	4	73	2
15	8	73	1
24	4	73	2
20	6	73	3
11	8	73	1
20	6	74	1
19	6	74	1
15	6	74	1
31	4	74	3
26	4	74	1
32	4	74	3
25	4	74	1
16	6	74	1
16	6	74	1
18	6	74	1
16	8	74	1
13	8	74	1
14	8	74	1
14	8	74	1
14	8	74	1
29	4	74	2
26	4	74	2
26	4	74	2
31	4	74	3
32	4	74	3
28	4	74	1
24	4	74	2
26	4	74	2
24	4	74	3
26	4	74	3
31	4	74	2
19	6	75	1
18	6	75	1
15	6	75	1
15	6	75	1
16	8	75	1
15	8	75	1
16	8	75	1
14	8	75	1
17	6	75	1
16	6	75	1
15	6	75	1
18	6	75	1
21	6	75	1
20	8	75	1
13	8	75	1
29	4	75	3
23	4	75	1
20	6	75	1
23	4	75	1
24	4	75	3
25	4	75	2
24	4	75	3
18	6	75	1
29	4	75	2
19	6	75	1
23	4	75	2
23	4	75	2
22	4	75	2
25	4	75	2
33	4	75	3
28	4	76	2
25	4	76	2
25	4	76	1
26	4	76	1
27	4	76	2
17.5	8	76	1
16	8	76	1
15.5	8	76	1
14.5	8	76	1
22	6	76	1
22	6	76	1
24	6	76	1
22.5	6	76	1
29	4	76	1
24.5	4	76	1
29	4	76	2
33	4	76	3
20	6	76	1
18	6	76	1
18.5	6	76	1
17.5	6	76	1
29.5	4	76	2
32	4	76	3
28	4	76	3
26.5	4	76	1
20	4	76	2
13	8	76	1
19	4	76	2
19	6	76	3
16.5	6	76	2
16.5	8	76	1
13	8	76	1
13	8	76	1
13	8	76	1
31.5	4	77	3
30	4	77	1
36	4	77	2
25.5	4	77	1
33.5	4	77	3
17.5	8	77	1
17	8	77	1
15.5	8	77	1
15	8	77	1
17.5	6	77	1
20.5	6	77	1
19	6	77	1
18.5	6	77	1
16	8	77	1
15.5	8	77	1
15.5	8	77	1
16	8	77	1
29	4	77	2
24.5	4	77	1
26	4	77	3
25.5	4	77	1
30.5	4	77	1
33.5	4	77	1
30	4	77	3
30.5	4	77	2
22	6	77	3
21.5	4	77	2
21.5	3	77	3
43.1	4	78	2
36.1	4	78	1
32.8	4	78	3
39.4	4	78	3
36.1	4	78	3
19.9	8	78	1
19.4	8	78	1
20.2	8	78	1
19.2	6	78	1
20.5	6	78	1
20.2	6	78	1
25.1	4	78	1
20.5	6	78	1
19.4	6	78	1
20.6	6	78	1
20.8	6	78	1
18.6	6	78	1
18.1	6	78	1
19.2	8	78	1
17.7	6	78	1
18.1	8	78	1
17.5	8	78	1
30	4	78	1
27.5	4	78	3
27.2	4	78	3
30.9	4	78	1
21.1	4	78	3
23.2	4	78	1
23.8	4	78	1
23.9	4	78	3
20.3	5	78	2
17	6	78	2
21.6	4	78	2
16.2	6	78	2
31.5	4	78	2
29.5	4	78	3
21.5	6	79	1
19.8	6	79	1
22.3	4	79	1
20.2	6	79	1
20.6	6	79	1
17	8	79	1
17.6	8	79	1
16.5	8	79	1
18.2	8	79	1
16.9	8	79	1
15.5	8	79	1
19.2	8	79	1
18.5	8	79	1
31.9	4	79	2
34.1	4	79	3
35.7	4	79	1
27.4	4	79	1
25.4	5	79	2
23	8	79	1
27.2	4	79	2
23.9	8	79	1
34.2	4	79	1
34.5	4	79	1
31.8	4	79	3
37.3	4	79	2
28.4	4	79	1
28.8	6	79	1
26.8	6	79	1
33.5	4	79	1
41.5	4	80	2
38.1	4	80	3
32.1	4	80	1
37.2	4	80	3
28	4	80	1
26.4	4	80	1
24.3	4	80	1
19.1	6	80	1
34.3	4	80	2
29.8	4	80	3
31.3	4	80	3
37	4	80	3
32.2	4	80	3
46.6	4	80	3
27.9	4	80	1
40.8	4	80	3
44.3	4	80	2
43.4	4	80	2
36.4	5	80	2
30	4	80	2
44.6	4	80	3
33.8	4	80	3
29.8	4	80	2
32.7	6	80	3
23.7	3	80	3
35	4	80	2
32.4	4	80	3
27.2	4	81	1
26.6	4	81	1
25.8	4	81	1
23.5	6	81	1
30	4	81	1
39.1	4	81	3
39	4	81	1
35.1	4	81	3
32.3	4	81	3
37	4	81	3
37.7	4	81	3
34.1	4	81	3
34.7	4	81	1
34.4	4	81	1
29.9	4	81	1
33	4	81	2
33.7	4	81	3
32.4	4	81	3
32.9	4	81	3
31.6	4	81	3
28.1	4	81	2
30.7	6	81	2
25.4	6	81	3
24.2	6	81	3
22.4	6	81	1
26.6	8	81	1
20.2	6	81	1
17.6	6	81	1
28	4	82	1
27	4	82	1
34	4	82	1
31	4	82	1
29	4	82	1
27	4	82	1
24	4	82	1
36	4	82	2
37	4	82	3
31	4	82	3
38	4	82	1
36	4	82	1
36	4	82	3
36	4	82	3
34	4	82	3
38	4	82	3
32	4	82	3
38	4	82	3
25	6	82	1
38	6	82	1
26	4	82	1
22	6	82	1
32	4	82	3
36	4	82	1
27	4	82	1
27	4	82	1
44	4	82	2
32	4	82	1
